name,relation,note
Calcio-olivine,Olivine,"In allusion to its composition, containing dominant calcium, and its relationship to the olivine series."
Calcioancylite-(Ce),Calcioancylite Root,The calcium analogue of Calcioancylite.
Calcioancylite-(Nd),Calcioancylite Root,The neodymium analogue of Calcioancylite.
Calcioandyrobertsite,Andyrobertsite,The Ca analogue of andyrobertsite.
Calcioaravaipaite,Aravaipaite,For its CALCIum content and relation to aravaipaite.
Calciobetafite (of Mazzi & Munno),Betafite,For a mineral with the betafite structure with high CALCIum content.
Calciobritholite,Britholite,"calcium dominant britholite, synonym of britholite"
Calcioburbankite,Burbankite,The calcium analog of burbankite.
Calciocatapleiite,Catapleiite,For its calcium content and close relation to catapleiite.  The change from the original name conforms to International Mineralogical Association guidelines.
Calciocelestine,Celestine,A calcium-bearing variety of Celestine
Calciocelsian,Celsian,Thought to be a Ca variety of Celsian
Calciocopiapite,Copiapite Group,As the calcium member of the copiapite group.
Calciodelrioite,Delrioite,As the calcium analog of delrioite.
Calcioferrite,,"For CALCIum and iron, FERRum, in the composition."
Calciogadolinite-(Y),Gadolinite-(Y),A variety of Gadolinite-(Y)
Calciohilairite,Hilairite,For the calcium content and relation to hilairite.
Calciojohillerite,Johillerite,The Ca analogue of johillerite
Calciolangbeinite,Langbeinite,As the Ca-dominant analog of langbeinite.
Calciolyndochite,Lyndochite,A Ca-rich variety of Lyndochite
Calciomicrolite,Microlite,As a Ca variety of Microlite Group
Calciomurmanite,Murmanite,As an analogue of murmanite with essential calcium.
Calciopetersite,Petersite-(Y),For its composition (Ca > Y) and relationship to petersite-(Y).
Calciosamarskite,Samarskite,"In allusion to the composition, containing calcium, and its relationshp to samarskite."
Calciotantite,,For CALCIum and TANTalum in the composition.
Calciothorite,Thorite,A variety of Thorite
Calciouranoite,,For CALCIum and URANium in the composition.
Calcioursilite,,For chemical composition: Uranyl and calcium silicate
Calciovolborthite,Volborthite,As a Ca-analogue of Volborthite
Calcium-aluminium-rich inclusion,,As inclusions rich in Ca and Al
Calcium-Eisenspessartin,Spessartine,A variety of spessartine containing considerable Ca and Fe.
Calcium-Gümbelite,Gümbelite,A Ca-rich variety of Gümbelite
Calcium-Jarosite,Jarosite,A variety of Jarosite
Calcium-lazulite,Lazulite,A variety of Lazulite
Calcium-Montmorillonite,Montmorillonite,A calcian montmorillonite
Calcium-Pharmacosiderite,Bariopharmacosiderite,Ca-bearing bariopharmacosiderite
Calcjarlite,Jarlite,As a CALCium analog of jarlite.
Calclacite,,"From the composition, CALcium, chlorine, CL, and ACetate."
Calcurmolite,,"For the essential chemical components, CALCium, URanium, and MOLybdenum."
Calcybeborosilite-(Y),,"Named after it's composition of calcium, beryllium, boron and silicon."
Calzirtite,,For CALcium and ZIRconium in its composition.
Camgasite,,"For Ca, calcium, Mg, magnesium, and As, arsenic, in the composition."
Canaphite,,"For CAlcium, sodium, NAtrium, and PHosphate in the composition"
Canasite,,"For CAlcium, NAtrium, and SIicon in the chemical composition"
Cancrisilite,Cancrinite,"For the relatively high ratio of silicon to aluminum, and its relation to cancrinite."
Caoxite,,"For the essential chemical components, CAlcium and OXalate"
Carboborite,,"For the essential anionic chemical components, CARBOnate and BORate"
Carbobystrite,Bystrite,"For the compositional relationship with bystrite and the essential role of CO3 in the compound.  It is a K-deficient, (CO3), and Na analogue of bystrite."
Carbocernaite,,"For the essential chemical components, CARBOnate, CERium, and sodium, NAtrium."
Carboirite-VIII,Carboirite,Due ti its relation to Carboirite
Carbokentbrooksite,Kentbrooksite,For its carbonate content and the relationship to Kentbrooksite
Carbon Dioxide Ice,,As a solid fom of Carbon Dioxide
Carbon Monoxide Ice,,As a sold form of Carbon Monoxide
Carbonado,,From the Carbon in its composition
Carbonate-fluorapatite,Fluorapatite,For a fluorapatite with essential carbonate
Carbonate-fluorhydroxyapatite,Hydroxylapatite,Carbonate- and F-bearing variety of Hydroxylapatite
Carbonate-hydroxylapatite,Hydroxylapatite,For a carbonate-rich hydroxylapatite
Carbonate-rich Apatite,Apatite,Carbonate-bearing apatite
Carbonate-rich Fluorapatite,Fluorapatite,A variety of fluorapatite with carbonate group (CO3) substituting for some of the phosphate (PO4) groups.
Carbonate-rich Hydroxylapatite,Hydroxylapatite,A hydroxylapatite with carbonate group (CO3) substituting for some of the phosphate (PO4) group.
Carbonate-Vishnevite,Vishnevite,A carbonate-bearing variety of vishnevite.
Carbonatecyanotrichite,Cyanotrichite,As the carbonate-dominant analog of cyanotrichite.
Carbonite (of Mueller),,From the Carbon in its composition
Carborundum,Corundum,Carbon +‎ corundum
Carmeltazite,,"From the dominant metals present in the mineral, i.e., titanium, aluminum and zirconium (“TAZ”)."
Caryocerite,,"From the cerium, in allusion to content of cerium."
Cascandite,,For CAlcium and SCANDium in the composition
Cavansite,,"For CAlcium, VANadium, and SIlicon in the composition"
Cavoite,,"Named for its chemical composition, containing CAlcium, Vanadium and Oxygen."
Cayalsite-(Y),,From the chemical symbols for the essential elements in the mineral (Ca-Y-Al-Si) and a suffix for the dominant rare-earth element.
Caysichite,,"For the chemical composition: Ca, Y, Si, C, H."
Caysichite-(Y),,"For the chemical composition: Ca, Y, Si, C, H."
Cd-Freibergite,Freibergite,A cadmium-rich variety of tetrahedrite (and not of freibergite as the name suggests).
Cebaite,,Named for the composition that includes CErium and BArium.
Cebaite-(Ce),,"For two of the essential elements, CErium and BArium."
Cebaite-(Nd),Cebaite,Named after the composition.
Celestobarite (of Dana),Baryte,A strontium-bearing variety of Baryte.
Cerapatite,Apatite,In allusion to the composition containing CERium and being an APATITE.
Cerchiaraite-(Al),Cerchiaraite,For the analog of cerchiaraite with dominant aluminum in the octahedral structural site.
Cerchiaraite-(Fe),Cerchiaraite,For the analog of cerchiaraite with dominant iron in the octahedral structural site.
Cerchiaraite-(Mn),Cerchiaraite,For the analog of cerchiaraite with dominant manganese in the octahedral structural site.
Cerian Vesuvianite,Vesuvianite,A cerium-bearing variety of vesuvianite.
Cerianite-(Ce),,In allusion to the mineral's chemical composition.
Ceriopyrochlore (of Hogarth 1977),Pyrochlore Group,A variety of Pyrochlore Group
Ceriopyrochlore-(Ce),Pyrochlore Group,For membership in the pyrochlore group and significant CERIum content.
Cerite-(Ce),Cerite,For its cerium content and relation to Cerite
Cerite-(La),Cerite,La-dominant Cerite
Cerotungstite-(Ce),Tungstite,For CERium and TUNGSten in the composition.
Cerphosphorhuttonite,Huttonite,Named according to composition and similarity to huttonite.
Cesian Analcime,Analcime,A cesium-bearing variety of analcime.
Cesiodymite,,For CESium in the composition.
Cesiokenopyrochlore,Pyrochlore Group,For membership in the pyrochlore group and significant CESIum content.
Cesplumtantite,,"For CESium, lead (PLUMbum), and TANTalum in the composition."
Cesstibtantite,,"For CESium, antimony (STIBium), and TANTalum in the composition [deviant from IMA pyrochlore nomenclature]."
Chabazite-Ca,Chabazite,The calcium-dominant member of the Chabazite series
Chabazite-K,Chabazite,The potassium-dominant member of the Chabazite series
Chabazite-Mg,Chabazite,The magnesium-dominant member of the Chabazite series
Chabazite-Na,Chabazite,The sodium-dominant member of the Chabazite series
Chabazite-Sr,Chabazite,The strontium-dominant member of the Chabazite series
Chalconatronite,,For the Cu and Na in composition
Chalcothallite,,for copper and Thallium in composition
Cheralite-(Ce),Cheralite,For its dominant cerium content.
Chernovite-(Ce),Chernovite-(Y),For being the Ce-dominant analogue of chernovite-(Y).
Chernovite-(Y),,For its dominant yttrium content.
Chevkinite-(Ce),Chevkinite,For its dominant cerium content and relation to Chevkinite.
Chevkinite-(Nd),Chevkinite,For its dominant Nd content and relation to Chevkinite.
Chiappinoite-(Y),,For its dominant yttrium content.
Chinleite-(Y),,"A suffix for the dominant rare earth element, yttrium."
Chlor-manasseite,Manasseite,Cl variety of manasseite
Chloraluminite,,For CHLORine and ALUMINum in its composition.
Chlorapatite,Apatite,For dominant chlorine and membership in the apatite group
Chlorargyrite,,"For CHLORine, and the Greek for silver, argyros, in its composition."
Chlorartinite,Artinite,For essential chlorine and chemical relation to artinite
Chlorbartonite,Bartonite,Named for the relationship to Bartonite with CLORine
Chlorellestadite,,For chlorine in the chemical composition
Chlorian Bromargyrite,Bromargyrite,A variety of Bromargyrite
Chloritoid,Chlorite Group,For its resemblance to members of the chlorite group
Chlorkyuygenite,,The prefix indicates the essential chlorine in the species.
Chlormagaluminite,,"For its principal components, CHLORine, MAGnesium, and ALUMINum."
Chlormanganokalite,,"For CHLORine, MANGANese, and potassium (KALium), in its composition."
Chlormayenite,,For CHLORine in the composition
Chloro-potassic-ferri-magnesiotaramite,Magnesiotaramite,For its relation to magnesiotaramite
Chlorocalcite,,For CHLORine and CALCium in the composition
Chloroferrokinoshitalite,Kinoshitalite,The Cl and Fe analogue of kinoshitalite.
Chloromagnesite,,"In allusion to the composition, containing CHLORine and MAGNESium."
Chloropal,,"A greenish variety of common opal from Silesia, Poland"
Chlorospinel,Spinel,A ferrian variety of spinel containing Fe3+ next in abundance after Al.
Chlorotile-(Ce),,Due to the chemical composition
Chrom-Lanarkite,Lanarkite,A variety of Lanarkite
Chromatite,,As a chromate
Chrombismite,,For its CHROMiumand BISMuth content
Chromceladonite,Celadonite,For its relationship to Celadonite with CHROMium
Chrome Ochre,,An aluminosilicate of Cr
Chrome Phlogopite,Phlogopite,A chromian Phlogopite
Chrome-Alumina-Hisingerite,Hisingerite,Due to the Cr and Al in its composition and similarity to Hisingerite
Chrome-Beidellite,Beidellite,A chromian Beidellite
Chrome-Cerussite,Cerussite,A variety of Cerussite
Chrome-Chalcedony,Chalcedony,A variety of chalcedony colored deep green by Cr compounds.
Chrome-Clinozoisite,Clinozoisite,A Cr3+-bearing clinozoisite low in Fe3+.
Chrome-diaspore,Diaspore,"Light to dark purple, Cr3+-bearing variety of diaspore."
Chrome-Enstatite,Enstatite,Chromium-rich variety of Enstatite
Chrome-Halloysite,Halloysite,A pale blue chromian Halloysite
Chrome-Kaolinite,Kaolinite,A Cr-bearing kaolinite.
Chrome-Kyanite,Kyanite,A Cr-bearing kyanite.
Chrome-Nontronite,Nontronite,A chromian Nontronite
Chrome-Omphacite,Omphacite,A chrome-rich variety of Omphacite
Chrome-Pistazite,Pistacite,"A Cr-bearing ""pistacite"" (= epidote) with Fe3+>Al."
Chrome-Pyroaurite,Pyroaurite,A Chromian Pyroaurite
Chrome-Pyrophyllite,Pyrophyllite,A Cr-bearing variety of pyrophyllite.
Chrome-Tourmaline,Tourmaline,A Cr-bearing tourmaline.
Chrome-Tremolite,Tremolite,A Cr-bearing tremolite.
Chrome-Vesuvianite,Vesuvianite,A vesuvianite with chromium replacing some of the aluminium in its chemical composition.
Chrome-Zoisite,Zoisite,A Cr-bearing variety of Zoisite.
Chromferide,,"For the chemical composition, CHROMium and FERrum"
Chromferrit,Chromite,A variety of Chromite
Chromian Allanite-(Ce),Allanite-(Ce),Variety of Allanite-(Ce) with content of Cr2O3 up to 7.5 mass%.
Chromian Alumohydrocalcite,Alumohydrocalcite,A chromium-bearing variety of alumohydrocalcite.
Chromian Biotite,Biotite,A Cr-bearing variety of biotite.
Chromian Clinochlore,Clinochlore,"Lilac to purple, Cr-bearing variety of clinochlore"
Chromian Corundum,Corundum,An unnecessary name for a Cr-bearing corundum.
Chromian Dawsonite,Dawsonite,A chromium-bearing variety of dawsonite.
Chromian Diopside,Diopside,"A green, Cr-bearing variety of diopside."
Chromian Elbaite,Elbaite,"A greenish, Cr(III)-bearing variety of elbaite."
Chromian Grossular,Grossular,Green chrome-rich variety of Grossular
Chromian Iowaite,Iowaite,Iowaite with significant replacement of Fe3+ by Cr3+ transitive to Woodallite.
Chromian Kennedyite,Kennedyite,A variety of Kennedyite
Chromian Lawsonite,Lawsonite,A chromium-bearing variety of Lawsonite.
Chromian Magnesio-arfvedsonite,Magnesio-arfvedsonite,Cr bearing (up to Fe:Cr = 1:1) variety of Magnesio-arfvedsonite from jadeitites of Myanmar
Chromian Mimetite,Mimetite,"A bright red, chromium-bearing variety of mimetite."
Chromian Phlogopite,Phlogopite,A chromium-bearing phlogopite.
Chromian Pyrope,Pyrope,A chrome-rich variety of pyrope.
Chromian Sericite,Sericite,A chromium-bearing variety of sericite.
Chromian Talc,Talc,A chromian variety of talc
Chromian Titanite,Titanite,Chromium-bearing variety of Titanite with usually green colour.
Chromian Wulfenite,Wulfenite,A chromian variety of Wulfenite
Chromian Yukonite,Yukonite,A variety of Yukonite
Chromiferous Limonite,Limonite,A chromium-bearing variety of limonite
Chromio-pargasite,Pargasite,Originally ehimeite for the type locality; subsequently changed to chromio-pargasite to conform to IMA nomenclature for a chromium-dominant analog of pargasite.
Chromite,,For its CHROMium content
Chromium-dravite,Dravite,For CHROMium in the composition and similarity to dravite.
Chromlöweite,Löweite,A variety of Löweite containing Chromium
Chrommagnetite,Magnetite,A variety of Magnetite
Chromo-alumino-povondraite,Povondraite,For its relation to povondraite with dominant chromium in the Y site and aluminum in the Z site.
Chromoamesite,Amesite,A variety of Amesite
Chromocyclite,Leucocyclite,Apophyllite showing coloured interference rings when viewed in convergent polarised light - compare with Leucocyclite (black & white rings).
Chromohercynite,Hercynite,A chromian variety of Hercynite.
Chromojadeite,Jadeite,A Cr-bearing jadeite.
Chromphyllite,,For CHROMium in the composition
Chrompicotite,Picotite,A variety of Picotite
Chromschieffelinite,Schieffelinite,As the chromate analog of schieffelinite.
Chromspinel,Spinel,Cr-rich spinel
Chromsteigerite,Steigerite,A Chromian Steigerite.
Chrysothallite,,For the presence of thallium as a species-defining constituent.
Chukhrovite-(Ca),Chukhrovite,For the Ca-dominant species of the chukhrovite mineral group.
Chukhrovite-(Ce),Chukhrovite,For its relation to chukhrovite-(Y) and content of cerium as the dominant rare-earth element.
Chukhrovite-(Nd),Chukhrovite,For the Nd-dominant species of the chukhrovite mineral group.
Chukhrovite-(Y),Chukhrovite,"For the yttrium, the dominant rare-earth element"
Churchite-(Dy),Churchite-(Y),For its relation to Churchite-(Y)
Churchite-(Nd),Churchite-(Y),A neodymium-rich churchite-(Y).
Clino-ferro-suenoite,Clino-suenoite,As a Fe variety of Clino-suenoite
Clinobisvanite,,"For the mineral's monoclinic crystal system, and BISmuth and VANadium in its composition."
